Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases/1M_pop,Deaths/1M_pop,TotalTests,Tests/1M_pop,WHO_Region,MortalityRatio,RecoveryRatio,CasesPerPopulation,DeathsPer1M,CasesPer1M,DailyGrowthRateCases,DailyGrowthRateDeaths,DailyGrowthRateRecovered,DailyGrowthRateCases_MA7,DailyGrowthRateDeaths_MA7,DailyGrowthRateRecovered_MA7
Burkina Faso,Africa,20954852.0,1158,656.0,54.0,80.0,961.0,936.0,143.0,27.5,55.0,3.0,135702.0,32585.0,Africa,4.66321243523316,82.98791018998273,5.52616644584271e-05,2.5769688089421963,55.2616644584271,56.649395509499136,148.14814814814815,97.39854318418314,53.89711756781892,531.3751206940062,98.09827410527312
Niger,Africa,24281433.0,1153,656.0,69.0,80.0,1057.0,936.0,27.0,27.5,47.0,3.0,9052.0,373.0,Africa,5.9843885516045106,91.67389418907199,4.748484160716544e-05,2.841677424886744,47.48484160716544,56.89505637467476,115.94202898550725,88.55250709555345,54.67484270817862,512.22398197765,98.25197004549236
Togo,Africa,8296582.0,1012,656.0,22.0,80.0,697.0,936.0,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa,2.1739130434782608,68.87351778656127,0.00012197794224175691,2.651694396559933,121.9779422417569,64.82213438735178,363.6363636363636,134.28981348637018,56.32846858540698,460.27593002959804,106.01741735457365
Syria,Asia,17539600.0,999,656.0,48.0,80.0,311.0,936.0,640.0,27.5,57.0,3.0,135702.0,32585.0,EasternMediterranean,4.804804804804805,31.131131131131127,5.695682911810988e-05,2.7366644621314054,56.95682911810988,65.66566566566566,166.66666666666669,300.9646302250804,58.05288207452635,469.43343918710724,130.0457991800411
Jamaica,North America,2962478.0,958,30.0,12.0,80.0,745.0,936.0,201.0,27.5,323.0,4.0,41840.0,14123.0,Americas,1.2526096033402923,77.76617954070981,0.00032337792888250983,4.050662992265259,323.3779288825098,3.1315240083507305,666.6666666666667,125.63758389261746,50.83758641539926,336.1001058537739,135.8602427177212
Malta,Europe,441663.0,946,656.0,9.0,80.0,670.0,936.0,267.0,27.5,2142.0,20.0,136713.0,309541.0,Europe,0.9513742071881607,70.82452431289641,0.0021419045743021263,20.3775276624938,2141.904574302126,69.3446088794926,888.8888888888889,139.70149253731344,52.98615400367114,402.93385689805126,140.19677102411978
Andorra,Europe,77278.0,944,656.0,52.0,80.0,828.0,936.0,64.0,1.0,12216.0,673.0,3750.0,48526.0,Europe,5.508474576271186,87.71186440677965,0.012215637050648308,672.8952612645255,12215.637050648309,69.49152542372882,153.84615384615387,113.04347826086956,55.14284432125192,357.68498811977076,142.79829266885537
Chad,Africa,16467965.0,942,656.0,76.0,80.0,838.0,936.0,28.0,27.5,57.0,5.0,135702.0,32585.0,Africa,8.067940552016985,88.95966029723992,5.720196757765759e-05,4.615020738749445,57.20196757765759,69.63906581740976,105.26315789473684,111.69451073985681,56.99851150809629,351.558560940712,144.84057374823732
Gambia,Africa,2422754.0,935,656.0,16.0,80.0,136.0,936.0,783.0,27.5,386.0,7.0,5183.0,2139.0,Africa,1.7112299465240641,14.545454545454545,0.00038592444796293807,6.604054724499474,385.9244479629381,70.16042780748664,500.0,688.2352941176471,58.89356456992657,406.4239853713538,230.50954332282214
Sao Tome and Principe,Africa,219544.0,878,656.0,15.0,80.0,797.0,936.0,66.0,27.5,3999.0,68.0,3079.0,14025.0,Africa,1.7084282460136675,90.7744874715262,0.003999198338374085,68.3234340268921,3999.198338374085,74.71526195899773,533.3333333333333,117.44040150564616,60.30686850873313,430.666409613778,228.102484468433
Botswana,Africa,2356075.0,804,656.0,2.0,80.0,63.0,936.0,739.0,1.0,341.0,0.8,68423.0,29041.0,Africa,0.24875621890547264,7.835820895522389,0.00034124550364483304,0.8488694120518235,341.24550364483304,81.59203980099502,4000.0,1485.7142857142858,62.582064813780185,978.2854572328257,397.3524352526052
Bahamas,North America,393616.0,761,656.0,14.0,80.0,91.0,936.0,656.0,1.0,1933.0,36.0,4814.0,12230.0,Americas,1.8396846254927726,11.957950065703022,0.0019333563676273322,35.56765985122556,1933.3563676273322,86.2023653088042,571.4285714285714,1028.5714285714287,74.44932785670211,964.6800150559549,526.3429844924354
Vietnam,Asia,97425470.0,747,656.0,10.0,80.0,392.0,936.0,345.0,27.5,8.0,0.1,482456.0,4952.0,WesternPacific,1.3386880856760375,52.47657295850067,7.667399500356529e-06,0.10264256359245688,7.667399500356529,87.81793842034806,800.0,238.77551020408166,77.08837493396717,951.9816023575422,540.496415587688
Lesotho,Africa,2143943.0,742,656.0,23.0,80.0,175.0,936.0,544.0,27.5,346.0,11.0,8771.0,4091.0,Africa,3.0997304582210243,23.58490566037736,0.00034609129067330615,10.72789715025073,346.09129067330616,88.40970350404312,347.82608695652175,534.8571428571429,79.7909718025835,979.6930213733091,600.7555105300128
Diamond Princess,Africa,7041972.5,712,656.0,13.0,80.0,651.0,936.0,48.0,4.0,1015.0,29.0,135702.0,32585.0,Europe,1.8258426966292134,91.43258426966293,0.00010110803471612534,1.8460736675697043,101.10803471612535,92.13483146067416,615.3846153846155,143.77880184331798,83.00465260876413,1052.5675153004345,605.3389806876501
San Marino,Europe,33938.0,699,656.0,42.0,80.0,657.0,936.0,0.0,27.5,20596.0,1238.0,6068.0,178797.0,Europe,6.008583690987124,93.99141630901288,0.020596381637102954,1237.5508279804349,20596.381637102953,93.84835479256081,190.47619047619045,142.46575342465752,86.38864217806044,1008.3498282256045,527.3719034457944
Réunion,Africa,895952.0,671,656.0,5.0,80.0,592.0,936.0,74.0,3.0,749.0,6.0,35419.0,39532.0,Europe,0.7451564828614009,88.22652757078987,0.000748924049502652,5.5806561065771385,748.924049502652,97.7645305514158,1600.0,158.10810810810813,89.68139483412017,1160.730780606557,533.1815758175746
Channel Islands,Europe,174022.0,597,656.0,47.0,80.0,533.0,936.0,17.0,27.5,3431.0,270.0,30721.0,176535.0,Europe,7.872696817420436,89.27973199329983,0.0034306007286435047,270.0807943823195,3430.6007286435047,109.88274706867671,170.2127659574468,175.609756097561,93.72292444378898,613.618318600478,346.02378587232823
